yORF	gene_name	GFP_tagged	GFP_visualized	TAP_visualized	abundance	error	localization_summary	ambiguous	mitochondrion	vacuole	spindle_pole	cell_periphery	punctate_composite	vacuolar_membrane	ER	nuclear_periphery	endosome	bud_neck	microtubule	Golgi	late_Golgi	peroxisome	actin	nucleolus	cytoplasm	ER_to_Golgi	early_Golgi	lipid_particle	nucleus	bud
YAL026C	DRS2	tagged	visualized	TAP visualized	606	NA	"early Golgi,late Golgi"	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F
YAL027W		tagged	visualized	TAP visualized	1170	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YAL029C	MYO4	tagged	visualized	TAP visualized	2210	NA	"ambiguous,bud neck,cytoplasm,cell periphery,bud"	T	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	T
YAL031C	FUN21	tagged	visualized	TAP visualized	227	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL032C	PRP45	tagged	visualized	TAP visualized	1670	201	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YAL033W	POP5	tagged	visualized	TAP visualized	2230	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAL034W-A	MTW1	tagged	visualized	TAP visualized	2610	NA	spindle pole	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL035W	FUN12	tagged	visualized	TAP visualized	13400	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL036C	FUN11	tagged	visualized	TAP visualized	11700	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL038W	CDC19	tagged	visualized	TAP visualized	291000	24100	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL039C	CYC3	tagged	visualized	TAP visualized	3870	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL041W	CDC24	tagged	visualized	TAP visualized	1010	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAL043C	PTA1	tagged	visualized	TAP visualized	3730	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YAL044C	GCV3	tagged	visualized	TAP visualized	3510	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL047C	SPC72	tagged	visualized	TAP visualized	639	NA	spindle pole	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL049C		tagged	visualized	TAP visualized	1800	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL053W		tagged	visualized	TAP visualized	414	NA	"ambiguous,bud neck,cell periphery,punctate composite,late Golgi,bud"	T	F	F	F	T	T	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	T
YAL054C	ACS1	tagged	visualized	TAP visualized	2890	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAL055W	PEX22	tagged	visualized	TAP visualized	259	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL056W	GPB2	tagged	visualized	TAP visualized	low signal	NA	"cytoplasm,mitochondrion"	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL058W	CNE1	tagged	visualized	TAP visualized	4760	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL059W	ECM1	tagged	visualized	TAP visualized	2840	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YAL060W	BDH1	tagged	visualized	TAP visualized	8730	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL061W		tagged	visualized	TAP visualized	3090	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAR002C-A	ERP1	tagged	visualized	TAP visualized	20700	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAR002W	NUP60	tagged	visualized	TAP visualized	4590	NA	nuclear periphery	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAR003W	SWD1	tagged	visualized	TAP visualized	907	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YAR007C	RFA1	tagged	visualized	TAP visualized	4100	486	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YAR009C		tagged	visualized	TAP visualized	2220	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAR014C	BUD14	tagged	visualized	TAP visualized	538	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAR015W	ADE1	tagged	visualized	TAP visualized	4280	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAR019C	CDC15	tagged	visualized	TAP visualized	238	NA	"ambiguous,spindle pole"	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAR027W	UIP3	tagged	visualized	TAP visualized	1690	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAR028W		tagged	visualized	TAP visualized	1840	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAR044W	OSH1	tagged	visualized	TAP visualized	846	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAR071W	PHO11	tagged	visualized	TAP visualized	1460	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL001C	ECM15	tagged	visualized	TAP visualized	1900	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL002W	HTB2	tagged	visualized	TAP visualized	443000	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL003C	HTA2	tagged	visualized	TAP visualized	32100	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL004W	UTP20	tagged	visualized	not TAP visualized	not visualized	NA	"cytoplasm,nucleolus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	T	F	F	F	F	F
YBL005W	PDR3	tagged	visualized	TAP visualized	166	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL007C	SLA1	tagged	visualized	TAP visualized	952	NA	"cytoplasm,actin"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	T	F	F	F	F	F
YBL008W	HIR1	tagged	visualized	TAP visualized	846	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL010C		tagged	visualized	TAP visualized	1320	NA	late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F
YBL011W	SCT1	tagged	visualized	TAP visualized	1050	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL013W	FMT1	tagged	visualized	TAP visualized	1070	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL014C	RRN6	tagged	visualized	TAP visualized	237	36.3	"cytoplasm,nucleolus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	T	F	F	F	F	F
YBL015W	ACH1	tagged	visualized	TAP visualized	4890	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL016W	FUS3	tagged	visualized	TAP visualized	8480	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL017C	PEP1	tagged	visualized	TAP visualized	7210	NA	"punctate composite,endosome"	F	F	F	F	F	T	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL018C	POP8	tagged	visualized	TAP visualized	4870	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL019W	APN2	tagged	visualized	TAP visualized	414	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL021C	HAP3	tagged	visualized	TAP visualized	2510	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL022C	PIM1	tagged	visualized	TAP visualized	14500	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL023C	MCM2	tagged	visualized	TAP visualized	1690	261	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL024W	NCL1	tagged	visualized	TAP visualized	16100	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL025W	RRN10	tagged	visualized	TAP visualized	low signal	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F
YBL026W	LSM2	tagged	visualized	TAP visualized	2210	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL027W	RPL19B	tagged	visualized	TAP visualized	225000	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL028C		tagged	visualized	TAP visualized	6210	NA	"nucleolus,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T	F
YBL029C-A		tagged	visualized	TAP visualized	996	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL029W		tagged	visualized	TAP visualized	low signal	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL031W	SHE1	tagged	visualized	TAP visualized	264	NA	microtubule	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F
YBL032W	HEK2	tagged	visualized	TAP visualized	15600	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL033C	RIB1	tagged	visualized	TAP visualized	9520	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL034C	STU1	tagged	visualized	TAP visualized	521	NA	"ambiguous,spindle pole"	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL035C	POL12	tagged	visualized	TAP visualized	11200	1700	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL036C		tagged	visualized	TAP visualized	4890	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL037W	APL3	tagged	visualized	TAP visualized	1590	NA	"bud neck,cell periphery"	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F
YBL038W	MRPL16	tagged	visualized	TAP visualized	2880	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL039C	URA7	tagged	visualized	TAP visualized	57600	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL040C	ERD2	tagged	visualized	TAP visualized	low signal	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL042C	FUI1	tagged	visualized	TAP visualized	low signal	NA	"cell periphery,bud"	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T
YBL045C	COR1	tagged	visualized	TAP visualized	19300	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL046W		tagged	visualized	TAP visualized	1010	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL047C	EDE1	tagged	visualized	TAP visualized	1380	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL051C	PIN4	tagged	visualized	TAP visualized	4630	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL052C	SAS3	tagged	visualized	TAP visualized	low signal	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL054W		tagged	visualized	TAP visualized	830	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL055C		tagged	visualized	TAP visualized	1460	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL056W	PTC3	tagged	visualized	TAP visualized	19700	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL057C	PTH2	tagged	visualized	TAP visualized	2190	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL058W	SHP1	tagged	visualized	TAP visualized	3200	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL059C-A		tagged	visualized	TAP visualized	279	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL059W		tagged	visualized	TAP visualized	623	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL060W		tagged	visualized	TAP visualized	low signal	NA	"bud neck,cytoplasm"	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	F
YBL061C	SKT5	tagged	visualized	TAP visualized	2580	NA	"bud neck,cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	T	F
YBL063W	KIP1	tagged	visualized	TAP visualized	56.9	NA	microtubule	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F
YBL064C	PRX1	tagged	visualized	TAP visualized	4510	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL067C	UBP13	tagged	visualized	TAP visualized	125	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL068W	PRS4	tagged	visualized	TAP visualized	5280	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL069W	AST1	tagged	visualized	not TAP visualized	not visualized	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL071W-A	KTI11	tagged	visualized	TAP visualized	8400	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL072C	RPS8A	tagged	visualized	TAP visualized	15900	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL074C	AAR2	tagged	visualized	TAP visualized	7330	500	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL075C	SSA3	tagged	visualized	TAP visualized	6440	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL076C	ILS1	tagged	visualized	TAP visualized	23300	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL079W	NUP170	tagged	visualized	TAP visualized	1560	NA	nuclear periphery	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL080C	PET112	tagged	visualized	TAP visualized	1390	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL082C	RHK1	tagged	visualized	TAP visualized	technical problem	NA	"cytoplasm,vacuole"	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL084C	CDC27	tagged	visualized	TAP visualized	593	88	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL085W	BOI1	tagged	visualized	TAP visualized	1040	NA	"bud neck,cytoplasm,cell periphery,bud"	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	T
YBL086C		tagged	visualized	TAP visualized	396	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL087C	RPL23A	tagged	visualized	not TAP visualized	not visualized	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL090W	MRP21	tagged	visualized	TAP visualized	1270	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL091C	MAP2	tagged	visualized	TAP visualized	1080	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL093C	ROX3	tagged	visualized	TAP visualized	6120	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL095W		tagged	visualized	TAP visualized	704	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL097W	BRN1	tagged	visualized	TAP visualized	704	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBL098W	BNA4	tagged	visualized	TAP visualized	556	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL099W	ATP1	tagged	visualized	TAP visualized	41500	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBL101C	ECM21	tagged	visualized	TAP visualized	799	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL102W	SFT2	tagged	visualized	TAP visualized	279	NA	early Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F
YBL103C	RTG3	tagged	visualized	TAP visualized	1050	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBL104C		tagged	visualized	TAP visualized	184	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL105C	PKC1	tagged	visualized	not TAP visualized	not visualized	NA	"ambiguous,bud neck,cytoplasm,bud"	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	T
YBL107C		tagged	visualized	TAP visualized	768	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBL111C		tagged	visualized	TAP visualized	279	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR001C	NTH2	tagged	visualized	TAP visualized	2500	NA	"cytoplasm,mitochondrion"	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBR002C	RER2	tagged	visualized	TAP visualized	8970	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR003W	COQ1	tagged	visualized	TAP visualized	1560	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR005W		tagged	visualized	not TAP visualized	not visualized	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR006W	UGA2	tagged	visualized	TAP visualized	low signal	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBR007C		tagged	visualized	TAP visualized	377	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR008C	FLR1	tagged	visualized	not TAP visualized	not visualized	NA	"cell periphery,vacuole"	F	F	T	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR009C	HHF1	tagged	visualized	TAP visualized	524000	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBR010W	HHT1	tagged	visualized	TAP visualized	213000	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBR011C	IPP1	tagged	visualized	TAP visualized	68400	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBR014C		tagged	visualized	not TAP visualized	not visualized	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR015C	MNN2	tagged	visualized	TAP visualized	6730	NA	Golgi	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F
YBR016W		tagged	visualized	TAP visualized	1760	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR017C	KAP104	tagged	visualized	TAP visualized	2130	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBR023C	CHS3	tagged	visualized	TAP visualized	1510	NA	late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F
YBR025C		tagged	visualized	TAP visualized	36800	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBR026C	ETR1	tagged	visualized	TAP visualized	1560	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR028C		tagged	visualized	TAP visualized	1470	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBR030W		tagged	visualized	TAP visualized	7880	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YBR031W	RPL4A	tagged	visualized	not TAP visualized	not visualized	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YBR034C	HMT1	tagged	visualized	TAP visualized	37600	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YBR036C	CSG2	tagged	visualized	TAP visualized	technical problem	NA	"ER,vacuole"	F	F	T	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YBR037C	SCO1	tagged	visualized	TAP visualized	2550	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
