Gene	Ensembl.Gene.ID	Essential	Transcript.length	Strand	GC.content	Enzyme	SEG.low.complexity	Transmembrane.domain	Signal.peptide	Coiled.coil	Nucleus	Mitochondria	ER	Cytoplasm	Ribosome
COG4	YPR105C	1	2586	-1	36.27	0	1	0	0	0	0	0	1	0	0
COP1	YDL145C	1	3606	-1	39.93	0	1	0	0	0	0	0	0	1	0
CRM1	YGR218W	1	3255	1	35.85	0	1	0	0	1	1	0	0	1	0
CSE1	YGL238W	1	2883	1	34.65	0	1	0	0	0	1	0	0	1	0
CSE4	YKL049C	1	690	-1	39.71	0	1	0	0	1	1	0	0	0	0
CSL4	YNL232W	1	879	1	42.89	0	1	0	0	0	1	0	0	1	0
CTF13	YMR094W	1	1437	1	34.79	0	1	0	0	0	1	0	0	0	0
CTR86	YCR054C	1	1692	-1	36.05	0	1	0	0	0	0	0	0	1	0
CUS1	YMR240C	1	1311	-1	41.11	0	1	0	0	1	1	0	0	0	0
CWC2	YDL209C	1	1020	-1	40.1	0	0	0	0	0	1	0	0	0	0
CWC22	YGR278W	1	1734	1	37.66	0	1	0	0	1	1	0	0	1	0
CWC23	YGL128C	1	852	-1	41.55	0	1	0	0	0	1	0	0	1	0
CWC24	YLR323C	1	780	-1	41.92	0	1	0	0	0	1	0	0	0	0
CWC25	YNL245C	1	540	-1	41.67	0	1	0	0	1	1	0	0	0	0
CYR1	YJL005W	1	6081	1	38.78	1	1	0	0	0	0	1	0	0	0
DAD1	YDR016C	1	285	-1	38.95	0	1	0	0	0	1	0	0	1	0
DAD2	YKR083C	1	402	-1	36.32	0	1	0	0	1	1	0	0	1	0
DAM1	YGR113W	1	1032	1	40.12	0	1	0	0	1	1	0	0	1	0
DBF4	YDR052C	1	2115	-1	37.97	0	1	0	0	1	1	0	0	1	0
DBP10	YDL031W	1	2988	1	38.89	1	1	0	0	1	1	0	0	0	0
DBP2	YNL112W	1	1641	1	37.76	1	1	0	0	0	1	1	0	1	0
DBP5	YOR046C	1	1449	-1	37.68	1	0	0	0	0	1	0	0	1	0
DBP6	YNR038W	1	1890	1	38.47	1	1	0	0	1	1	0	0	0	1
DBP9	YLR276C	1	1785	-1	35.97	1	1	0	0	1	1	0	0	0	0
DCP1	YOL149W	1	696	1	35.2	0	1	0	0	0	0	0	0	1	0
DCP2	YNL118C	1	2913	-1	37.52	1	1	0	0	0	1	0	0	1	0
DED1	YOR204W	1	1815	1	46.06	1	1	0	0	0	0	0	0	1	0
DED81	YHR019C	1	1665	-1	44.38	1	1	0	0	1	0	0	0	1	0
DFR1	YOR236W	1	636	1	41.35	1	0	0	0	0	0	1	0	1	0
DHR2	YKL078W	1	2208	1	39.4	1	1	0	0	0	1	0	0	0	0
DIB1	YPR082C	1	432	-1	37.96	0	0	0	0	0	1	0	0	0	0
DIM1	YPL266W	1	957	1	40.54	1	0	0	0	0	1	0	0	1	1
DIP2	YLR129W	1	2832	1	38.06	0	1	0	0	1	1	0	0	1	1
DIS3	YOL021C	1	3006	-1	41.25	1	1	0	0	0	1	1	0	1	0
DML1	YMR211W	1	1428	1	37.39	0	0	0	0	0	0	1	0	1	0
DNA2	YHR164C	1	4569	-1	37.58	1	1	0	0	0	1	0	0	1	0
DOP1	YDR141C	1	5097	-1	36.14	0	1	0	0	1	0	1	0	1	0
DPB11	YJL090C	1	2295	-1	35.21	0	1	0	0	0	1	0	0	1	0
DPB2	YPR175W	1	2070	1	39.28	1	1	0	0	0	1	0	0	1	0
DPM1	YPR183W	1	804	1	49.88	1	0	1	0	0	1	1	1	0	0
DPS1	YLL018C	1	1674	-1	44.32	1	1	0	0	1	1	0	0	1	0
DRE2	YKR071C	1	1047	-1	37.54	0	1	0	0	0	0	1	0	1	0
DRS1	YLL008W	1	2259	1	40.95	1	1	0	0	1	1	0	0	1	1
DSL1	YNL258C	1	2265	-1	35.76	0	1	0	0	1	1	0	1	0	0
DSN1	YIR010W	1	1731	1	41.71	0	1	0	0	1	1	0	0	0	0
DUO1	YGL061C	1	744	-1	37.5	0	1	0	0	0	1	0	0	1	0
DUT1	YBR252W	1	444	1	47.3	1	0	0	0	0	1	0	0	1	0
DYS1	YHR068W	1	1164	1	40.46	1	1	0	0	0	0	0	0	1	0
EBP2	YKL172W	1	1284	1	39.49	0	1	0	0	1	1	0	0	0	1
ECM16	YMR128W	1	3804	1	38.22	1	1	0	0	0	1	1	0	0	1
ECM9	YKR004C	1	1134	-1	32.39	0	1	0	0	0	0	0	0	0	0
ECO1	YFR027W	1	846	1	41.84	1	1	0	0	0	1	0	0	1	0
EFB1	YAL003W	1	621	1	39.21	0	1	0	0	0	0	0	0	0	1
EMG1	YLR186W	1	759	1	41.63	1	0	0	0	0	1	0	0	1	1
EMW1	YNL313C	1	2715	-1	39.71	0	1	0	0	0	1	0	0	1	0
ENP1	YBR247C	1	1452	-1	39.74	0	1	0	0	1	1	0	0	1	1
ENP2	YGR145W	1	2124	1	37.81	0	1	0	0	1	1	0	0	0	1
EPL1	YFL024C	1	2499	-1	38.06	0	1	0	0	1	1	0	0	0	0
ERB1	YMR049C	1	2424	-1	39.11	0	1	0	0	0	1	0	0	0	1
ERD2	YBL040C	1	660	-1	37.25	0	1	1	0	0	0	0	1	0	0
ERG1	YGR175C	1	1491	-1	41.25	1	0	1	0	0	0	0	1	0	0
ERG10	YPL028W	1	1197	1	44.11	1	1	0	0	0	1	0	0	1	0
ERG11	YHR007C	1	1593	-1	39.92	1	0	1	0	0	0	0	1	0	0
ERG12	YMR208W	1	1332	1	40.54	1	1	0	0	0	1	0	0	1	0
ERG13	YML126C	1	1476	-1	39.57	1	0	0	0	0	1	0	1	0	0
ERG20	YJL167W	1	1059	1	41.83	1	0	0	0	0	0	0	1	1	0
ERG25	YGR060W	1	930	1	41.29	1	0	1	0	0	0	0	1	0	0
ERG26	YGL001C	1	1050	-1	39.62	1	0	0	0	0	0	0	1	0	0
ERG27	YLR100W	1	1044	1	41.38	1	1	0	0	0	0	1	1	0	0
ERG29	YMR134W	1	714	1	35.29	0	0	1	0	0	1	0	1	1	0
ERG7	YHR072W	1	2196	1	42.08	1	1	0	0	0	0	0	1	0	0
ERG8	YMR220W	1	1356	1	39.82	1	0	0	0	1	1	0	0	1	0
ERG9	YHR190W	1	1335	1	40.22	1	0	1	0	0	0	1	1	0	0
ERO1	YML130C	1	1692	-1	37.23	1	0	0	1	0	0	0	1	0	0
ERV1	YGR029W	1	570	1	41.65	1	0	0	0	0	0	1	0	0	0
ESA1	YOR244W	1	1338	1	36.55	1	1	0	0	0	1	0	0	0	0
ESF1	YDR365C	1	1887	-1	37.89	0	1	0	0	1	1	0	0	0	0
ESF2	YNR054C	1	951	-1	40.8	0	1	0	0	1	1	0	0	1	1
ESP1	YGR098C	1	4893	-1	34.85	1	1	0	0	0	1	1	0	1	0
ESS1	YJR017C	1	513	-1	51.85	1	0	0	0	0	1	0	0	1	0
EXO70	YJL085W	1	1872	1	36.16	0	1	0	0	0	0	0	0	0	0
EXO84	YBR102C	1	2262	-1	37.98	0	1	0	0	1	0	0	0	1	0
FAD1	YDL045C	1	921	-1	39.2	1	1	0	0	0	0	0	0	1	0
FAF1	YIL019W	1	1041	1	39.96	0	1	0	0	1	1	0	0	1	0
FAL1	YDR021W	1	1200	1	35.25	1	1	0	0	0	1	0	0	0	0
FAP7	YDL166C	1	594	-1	43.1	1	1	0	0	0	1	0	0	1	0
FAS1	YKL182W	1	6156	1	39.94	1	1	0	0	0	0	1	0	1	0
FAS2	YPL231W	1	5664	1	42.27	1	1	0	0	1	0	1	0	1	0
FBA1	YKL060C	1	1080	-1	45.19	1	0	0	0	0	0	1	0	1	0
FCF1	YDR339C	1	570	-1	38.77	0	0	0	0	0	1	0	0	0	0
FCF2	YLR051C	1	654	-1	38.07	0	1	0	0	0	1	0	0	0	0
FCP1	YMR277W	1	2199	1	42.75	1	1	0	0	1	1	0	0	0	0
FHL1	YPR104C	1	2811	-1	40.48	0	1	0	0	1	1	0	0	0	0
FIP1	YJR093C	1	984	-1	41.87	0	1	0	0	0	1	0	0	0	0
FMN1	YDR236C	1	657	-1	38.66	1	0	1	1	0	0	1	1	1	0
FOL1	YNL256W	1	2475	1	37.98	1	0	0	0	0	0	1	0	1	0
FOL2	YGR267C	1	732	-1	39.34	1	1	0	0	1	1	0	0	1	0
FOL3	YMR113W	1	1284	1	39.49	1	0	0	0	0	0	0	0	1	0
FRQ1	YDR373W	1	573	1	37.87	0	0	0	0	0	0	0	0	0	0
FRS1	YLR060W	1	1788	1	41.39	1	0	0	0	0	0	0	0	1	0
FRS2	YFL022C	1	1512	-1	43.92	1	1	0	0	1	0	0	0	1	0
FUR1	YHR128W	1	651	1	40.86	1	0	0	0	0	0	0	0	0	0
GAA1	YLR088W	1	1845	1	37.67	0	1	1	0	0	0	0	1	0	0
GAB1	YLR459W	1	1185	1	37.13	0	1	1	0	0	0	0	1	0	0
GCD1	YOR260W	1	1737	1	38.69	0	1	0	0	0	0	0	0	1	0
GCD10	YNL062C	1	1437	-1	38.2	0	1	0	0	1	1	0	0	0	0
GCD11	YER025W	1	1584	1	40.4	0	1	0	0	0	0	0	0	1	1
GCD14	YJL125C	1	1152	-1	39.24	1	0	0	0	0	1	0	0	0	0
GCD2	YGR083C	1	1956	-1	39.01	0	1	0	0	1	0	0	0	1	0
GCD6	YDR211W	1	2139	1	37.07	0	1	0	0	0	0	0	0	1	0
GCD7	YLR291C	1	1146	-1	38.57	0	1	0	0	0	0	1	0	1	0
GCR1	YPL075W	1	2358	1	37.28	0	1	0	0	1	1	0	0	1	0
GDI1	YER136W	1	1356	1	37.83	0	0	0	0	0	0	0	0	1	0
GFA1	YKL104C	1	2154	-1	38.86	1	1	0	0	0	0	0	0	1	0
GLC7	YER133W	1	939	1	35.93	1	0	0	0	0	1	0	0	1	0
GLE1	YDL207W	1	1617	1	39.39	0	1	0	0	1	1	1	0	1	0
GLN1	YPR035W	1	1113	1	44.47	1	0	0	0	0	0	0	0	1	0
GLN4	YOR168W	1	2430	1	37.82	1	1	0	0	0	0	1	0	1	0
GNA1	YFL017C	1	480	-1	42.08	1	0	0	0	0	1	0	0	1	0
GPI1	YGR216C	1	1830	-1	34.97	1	1	1	0	0	0	0	0	0	0
GPI10	YGL142C	1	1851	-1	37.33	1	1	1	0	0	0	0	1	0	0
GPI11	YDR302W	1	660	1	35.76	0	1	1	0	0	0	0	1	0	0
GPI12	YMR281W	1	915	1	37.6	1	0	1	0	0	0	0	1	1	0
GPI13	YLL031C	1	3054	-1	37.39	1	1	1	0	0	0	0	1	0	0
GPI14	YJR013W	1	1212	1	38.7	1	1	1	0	0	0	0	1	0	0
GPI15	YNL038W	1	690	1	33.77	1	0	1	0	0	0	0	0	0	0
GPI16	YHR188C	1	1833	-1	43.92	0	1	1	1	0	0	0	1	0	0
GPI17	YDR434W	1	1605	1	36.26	0	1	1	0	1	0	0	1	0	0
GPI18	YBR004C	1	1302	-1	34.25	1	1	1	0	0	0	1	1	0	0
GPI19	YDR437W	1	423	1	42.32	1	0	1	0	0	1	0	1	0	0
GPI2	YPL076W	1	843	1	35.71	1	1	1	0	0	0	0	1	0	0
GPI8	YDR331W	1	1236	1	38.19	1	1	1	1	0	0	0	1	0	0
GPM1	YKL152C	1	744	-1	44.62	1	1	0	0	0	0	1	0	1	0
GPN2	YOR262W	1	1044	1	38.41	0	1	0	0	1	0	0	0	1	0
GPN3	YLR243W	1	819	1	38.71	0	0	0	0	0	0	0	0	0	0
GRC3	YLL035W	1	1899	1	39.02	1	1	0	0	0	1	0	0	0	0
GRS1	YBR121C	1	2004	-1	39.27	1	1	0	0	0	0	1	0	1	0
GSP1	YLR293C	1	660	-1	41.67	0	1	0	0	1	1	0	0	1	0
GUK1	YDR454C	1	564	-1	40.78	1	0	0	0	0	1	0	0	1	0
GUS1	YGL245W	1	2127	1	40.15	1	1	0	0	0	0	1	0	1	0
GWT1	YJL091C	1	1473	-1	36.32	1	1	1	0	0	1	0	1	0	0
HAS1	YMR290C	1	1518	-1	37.81	1	1	0	0	0	0	0	0	0	0
HCA4	YJL033W	1	2313	1	38.22	1	1	0	0	1	0	0	0	0	0
HEM1	YDR232W	1	1647	1	46.99	1	1	0	0	0	0	1	0	0	0
HEM12	YDR047W	1	1089	1	43.99	1	0	0	0	0	1	0	0	1	0
HEM13	YDR044W	1	987	1	44.17	1	0	0	0	0	1	0	0	1	0
HEM15	YOR176W	1	1182	1	41.29	1	0	0	0	0	0	1	0	0	0
HEM2	YGL040C	1	1029	-1	43.34	1	1	0	0	0	1	0	0	1	0
HEM3	YDL205C	1	984	-1	41.57	1	0	0	0	0	1	0	0	1	0
HEM4	YOR278W	1	828	1	38.29	1	1	0	0	0	0	0	0	0	0
HIP1	YGR191W	1	1812	1	40.84	0	1	1	0	0	0	0	1	0	0
HRP1	YOL123W	1	1605	1	41.31	0	1	0	0	1	1	0	0	0	0
HRR25	YPL204W	1	1485	1	41.48	1	1	0	0	0	1	0	0	1	0
HRT1	YOL133W	1	366	1	43.44	0	1	0	0	0	0	0	0	0	0
HSF1	YGL073W	1	2502	1	39.61	0	1	0	0	0	1	0	0	0	0
HSH155	YMR288W	1	2916	1	38.27	0	1	0	0	1	1	0	0	1	0
HSH49	YOR319W	1	642	1	33.64	0	0	0	0	0	1	0	0	0	0
HSP10	YOR020C	1	321	-1	42.99	0	0	0	0	0	0	0	0	1	0
HSP60	YLR259C	1	1719	-1	43.16	0	1	0	0	0	0	1	0	1	0
HTB1	YDR224C	1	396	-1	40.91	0	1	0	0	0	1	0	0	0	0
HTS1	YPR033C	1	1641	-1	40.1	1	1	0	0	0	0	0	0	1	0
HYM1	YKL189W	1	1200	1	36	0	1	0	0	0	1	0	0	1	0
HYP2	YEL034W	1	474	1	44.51	0	0	0	0	0	0	0	0	0	0
IDI1	YPL117C	1	867	-1	37.02	1	1	0	0	0	1	0	0	1	0
IFH1	YLR223C	1	3258	-1	37.45	0	1	0	0	1	1	0	0	0	0
ILS1	YBL076C	1	3219	-1	38.93	1	1	0	0	0	0	0	0	1	0
ILV3	YJR016C	1	1758	-1	44.71	1	1	0	0	0	0	1	0	0	0
ILV5	YLR355C	1	1188	-1	46.21	1	1	0	0	0	0	0	0	0	0
IMP3	YHR148W	1	552	1	38.59	0	1	0	0	0	0	0	0	0	0
IMP4	YNL075W	1	873	1	39.18	0	0	0	0	1	0	0	0	0	0
INN1	YNL152W	1	1230	1	40.24	0	1	0	0	0	0	0	0	1	0
INO80	YGL150C	1	4470	-1	38.68	1	1	0	0	1	1	0	0	0	0
IPI1	YHR085W	1	1005	1	38.71	0	1	0	0	0	1	0	0	0	0
IPI3	YNL182C	1	1668	-1	37.29	0	0	0	0	1	0	0	0	0	0
IPL1	YPL209C	1	1104	-1	36.59	1	1	0	0	0	0	0	0	0	0
IPP1	YBR011C	1	864	-1	42.59	1	0	0	0	0	1	0	0	1	0
IQG1	YPL242C	1	4488	-1	36.32	0	1	0	0	1	0	0	0	0	0
IRA1	YBR140C	1	9279	-1	36.19	0	1	0	0	0	0	0	0	1	0
IRR1	YIL026C	1	3453	-1	36.72	0	1	0	0	0	1	0	0	0	0
ISD11	YER048W-A	1	285	1	36.14	0	0	0	0	0	0	1	0	0	0
JAC1	YGL018C	1	555	-1	41.98	0	0	0	0	0	0	1	0	0	0
JIP5	YPR169W	1	1479	1	38.2	0	1	0	0	0	1	0	0	0	0
KAE1	YKR038C	1	1161	-1	44.1	0	0	0	0	0	1	0	0	1	0
KAP95	YLR347C	1	2586	-1	41.14	0	1	0	0	0	1	0	0	1	0
KAR1	YNL188W	1	1302	1	34.72	0	1	1	0	0	1	0	0	1	0
KAR2	YJL034W	1	2049	1	40.65	0	1	1	0	1	0	0	1	0	0
KEG1	YFR042W	1	603	1	35.82	0	1	1	0	0	0	0	1	0	0
KEI1	YDR367W	1	666	1	35.2	0	1	1	0	0	0	0	0	1	0
KIN28	YDL108W	1	921	1	39.02	1	0	0	0	0	1	0	0	0	0
KOG1	YHR186C	1	4674	-1	38.47	0	1	0	0	1	0	1	0	0	0
KRE29	YER038C	1	1395	-1	34.77	0	0	0	0	0	1	0	0	1	0
KRE33	YNL132W	1	3171	1	38.51	0	1	0	0	1	1	0	0	0	1
KRE5	YOR336W	1	4098	1	35.97	0	1	0	1	0	0	0	1	0	0
KRE9	YJL174W	1	831	1	43.2	0	1	1	1	0	0	0	0	0	0
