ORF,mitochondria,cytoplasm,er,nucleus,vacuole,other,CAI,NC,GC,L_aa,Gravy,DovEXPR,BLAST_hits_in_yeast,intxn_partners,chromosome,chr_position,intron,close_stop_ratio,rare_aa_ratio,tm_helix,in_how_many_of_5_proks,in_how_many_of_6_close_yeast,SGD_ess
YBR242W,0,1,0,1,0,0,0.146,61,0.41,238,-0.480672,1.4,1,8,2,0.866551721,0,0.071129707,0.075313808,0,0,4,0
YBR255W,0,0,0,0,0,1,0.111,50.94,0.387,694,-0.788761,0.4,0,1,2,0.890884584,0,0.028776978,0.074820144,1,0,4,0
YBR262C,1,0,0,0,0,0,0.112,61,0.459,106,-0.628302,2.8,0,1,2,0.905130611,0,0.056074766,0.093457944,0,0,4,0
YBR267W,0,1,0,0,0,0,0.167,53.78,0.447,393,-0.978626,1.3,0,89,2,0.909805089,0,0.053299492,0.076142132,0,0,4,0
YBR271W,0,1,0,0,0,0,0.095,56.89,0.395,419,-0.290215,0.7,0,2,2,0.915967627,0,0.047619048,0.069047619,0,0,4,0
YCL005W,0,0,0,0,0,1,0.095,57.51,0.431,256,0.103125,0.7,0,1,3,0.341173609,0,0.042801556,0.085603113,2,0,4,0
YCL010C,0,0,0,1,0,0,0.104,58.08,0.467,259,-0.695367,0.9,0,55,3,0.329579013,0,0.046153846,0.053846154,0,0,3,0
YCL017C,1,0,0,0,0,0,0.226,44.51,0.432,497,-0.247284,2,0,2,3,0.297742038,0,0.046184739,0.076305221,0,0,5,1
YCL025C,0,0,1,0,0,0,0.245,44.42,0.441,595,0.30605,2,4,1,3,0.246098549,0,0.055369128,0.07885906,12,0,4,0
YCL030C,0,1,0,0,0,0,0.269,45.76,0.425,799,-0.188235,5.1,0,8,3,0.215824998,0,0.04125,0.05125,0,0,5,0
YCL032W,0,1,0,0,0,0,0.12,55.52,0.438,346,-0.663295,0.4,0,35,3,0.200373958,0,0.034582133,0.080691643,0,0,4,0
YCL035C,0,1,0,1,0,0,0.194,53.33,0.421,110,-0.248182,5.1,0,54,3,0.193210639,0,0.054054054,0.063063063,0,0,4,0
YCL044C,1,0,0,0,0,0,0.13,54.53,0.453,417,-0.442686,0.3,0,1,3,0.152754309,0,0.023923445,0.06937799,0,0,4,0
YCR002C,0,0,0,0,0,1,0.169,47.07,0.371,322,-0.380435,2.6,0,60,3,0.373784399,0,0.034055728,0.046439628,0,0,3,0
YCR005C,0,1,0,0,0,0,0.186,44.7,0.399,460,-0.333043,1.1,3,4,3,0.386354951,0,0.047722343,0.05856833,0,0,4,0
YCR021C,0,0,0,0,0,0,0.23,47.53,0.429,332,0.355422,0.3,0,2,3,0.496195671,0,0.06006006,0.096096096,7,0,4,0
YCR024C,1,0,0,0,0,0,0.145,50.14,0.373,492,-0.388008,21.3,1,1,3,0.512351041,0,0.056795132,0.077079108,2,0,4,0
YCR036W,0,1,0,1,0,0,0.16,49.28,0.399,333,-0.243544,0.8,0,1,3,0.610499253,0,0.041916168,0.053892216,0,0,4,0
YCR038C,0,0,0,0,0,1,0.125,53.68,0.394,642,-0.224299,0.1,1,4,3,0.630245757,0,0.057542768,0.076205288,0,0,4,0
YCR046C,1,0,0,0,0,0,0.114,45.17,0.525,169,-0.36213,1,0,126,3,0.664590525,0,0.047058824,0.047058824,0,0,4,0
YCR047C,0,1,0,1,0,0,0.075,48.69,0.527,275,-0.543273,2.4,0,2,3,0.668134284,0,0.039855072,0.065217391,0,0,4,0
YCR048W,0,0,1,0,0,0,0.114,48.53,0.499,610,0.035738,1.2,1,26,3,0.669347121,0,0.063829787,0.104746318,9,0,4,0
YCR060W,0,1,0,1,0,0,0.076,59.91,0.498,111,-0.489189,1.4,0,1,3,0.708732743,0,0.080357143,0.0625,0,0,3,0
YCR063W,0,0,0,1,0,0,0.13,52.83,0.482,157,-0.852229,0.2,0,87,3,0.72111063,0,0.101265823,0.113924051,0,0,4,0
YCR077C,0,1,0,0,0,0,0.181,50.08,0.435,796,-0.489824,1.9,0,119,3,0.797895222,0,0.026348808,0.050188206,0,0,4,0
YCR082W,0,1,0,1,0,0,0.159,61,0.396,128,-0.510156,3.2,0,5,3,0.817651202,0,0.03875969,0.054263566,0,0,4,0
YCR088W,0,0,0,0,0,1,0.238,47.62,0.459,592,-1.042061,1,0,84,3,0.837186092,0,0.020236088,0.030354132,0,0,4,0
YCR094W,0,0,0,0,0,1,0.13,51.25,0.368,391,-0.421483,0.3,0,2,3,0.905705072,0,0.06122449,0.068877551,2,0,4,0
YDL019C,0,0,0,0,0,1,0.148,51.29,0.404,1283,-0.747077,0.7,0,8,4,0.27515048,0,0.033489097,0.059968847,0,0,5,0
YDL028C,0,0,0,0,0,1,0.113,50.64,0.37,764,-0.728534,0.4,0,1,4,0.26325502,0,0.037908497,0.061437908,0,0,4,1
YDL054C,0,0,0,0,0,1,0.094,58.35,0.413,486,0.539712,0.7,0,2,4,0.235836648,0,0.059548255,0.075975359,11,0,3,0
YDL065C,0,1,0,0,0,0,0.151,54.94,0.372,350,-1.104857,1.1,0,82,4,0.22018057,0,0.022792023,0.05982906,0,1,4,0
YDL066W,1,0,0,0,0,0,0.319,44.74,0.426,428,-0.371028,2.5,3,1,4,0.218570835,0,0.046620047,0.060606061,0,0,5,0
YDL092W,0,0,1,0,0,0,0.145,52.7,0.379,146,-0.829452,2.6,0,7,4,0.191119171,0,0.040816327,0.068027211,0,0,4,1
YDL103C,0,1,0,1,0,0,0.177,52.52,0.403,477,-0.457023,1.4,0,1,4,0.180544268,0,0.050209205,0.056485356,0,0,4,1
YDL110C,0,1,0,1,0,0,0.143,52.32,0.476,150,-0.771333,0.8,0,3,4,0.172961018,0,0.033112583,0.052980132,0,0,4,0
YDL121C,0,0,1,0,0,0,0.151,51.11,0.369,149,-0.615436,1.8,0,2,4,0.160308996,0,0.04,0.02,1,0,4,0
YDL140C,0,0,0,1,0,0,0.209,41.9,0.409,1733,-0.398384,2.9,1,140,4,0.137448929,0,0.0455594,0.065167243,0,0,5,1
YDL156W,0,1,0,1,0,0,0.131,53.37,0.422,522,-0.646169,0.3,0,39,4,0.114182185,0,0.034416826,0.051625239,0,0,4,0
YDL157C,1,0,0,0,0,0,0.216,48.36,0.393,118,-0.622034,5.7,0,1,4,0.11396677,0,0.050420168,0.092436975,0,0,4,0
YDL175C,0,0,0,1,0,0,0.131,50.42,0.395,344,-1.180814,0.4,2,55,4,0.094990695,0,0.101449275,0.101449275,0,0,4,0
YDL189W,0,1,0,0,0,1,0.121,55.41,0.4,457,-1.111816,0.9,1,1,4,0.079779807,0,0.069868996,0.054585153,0,0,3,0
YDL191W,0,1,0,0,0,0,0.798,24.34,0.422,120,-0.79,41.2,1,79,4,0.07680839,1,0.041322314,0.016528926,0,0,3,0
YDL208W,0,0,0,0,0,1,0.36,39.63,0.416,173,-0.560116,13.4,0,89,4,0.057092724,0,0.022988506,0.040229885,0,0,6,1
YDL216C,0,1,0,0,0,0,0.11,56.11,0.375,455,-0.72967,0.1,0,7,4,0.045932285,0,0.054824561,0.074561404,0,0,4,0
YDL224C,0,1,0,0,0,0,0.122,50.7,0.404,649,-0.568567,0.7,1,3,4,0.036781731,0,0.027692308,0.056923077,0,0,4,0
YDL233W,0,1,0,1,0,0,0.119,53.47,0.422,458,-0.39345,0.2,0,3,4,0.024020695,0,0.037037037,0.061002179,0,0,4,0
YDL240W,0,1,0,0,0,1,0.139,52.13,0.368,1017,-0.360669,0.2,0,2,4,0.01489821,0,0.070726916,0.08546169,0,0,3,0
YDR001C,0,1,0,0,0,0,0.168,50.07,0.407,751,-0.543808,1.7,4,19,4,0.295360947,0,0.063829787,0.067819149,0,0,4,0
YDR017C,0,1,0,0,0,0,0.144,51.53,0.383,1050,-0.866286,1.2,0,14,4,0.314807671,0,0.04376784,0.078020932,0,0,4,0
YDR040C,0,0,0,0,0,1,0.197,50.14,0.414,1091,-0.054904,1.2,2,2,4,0.351492791,0,0.037545788,0.076923077,10,0,3,0
YDR050C,0,1,0,1,0,0,0.817,26.59,0.445,248,-0.105242,57.5,0,11,4,0.3632466,0,0.032128514,0.036144578,0,0,5,1
YDR070C,1,0,0,0,0,0,0.266,36.7,0.427,93,-1.33871,0.1,0,2,4,0.384074588,0,0.021276596,0.053191489,0,0,1,0
YDR079W,1,0,0,0,0,0,0.101,50.98,0.357,111,-0.600901,1,0,2,4,0.393659889,0,0.044642857,0.044642857,0,0,4,0
YDR088C,0,0,0,1,0,0,0.159,52.28,0.377,382,-1.421204,0.4,0,86,4,0.404482845,0,0.046997389,0.065274151,0,0,4,1
YDR091C,0,1,0,0,0,0,0.369,37.86,0.374,608,-0.197369,1.6,0,77,4,0.410285333,0,0.049261084,0.055829228,0,0,4,1
YDR100W,0,0,0,0,0,1,0.136,61,0.387,143,0.861539,1.9,0,7,4,0.427570077,0,0.0625,0.034722222,3,0,4,0
YDR108W,0,1,0,0,0,0,0.127,49.58,0.372,698,-0.350716,0.6,0,14,4,0.438181535,0,0.054363376,0.084406295,0,0,4,0
YDR131C,0,0,0,0,1,0,0.132,58.28,0.356,556,-0.272662,0.2,0,19,4,0.468986487,0,0.070017953,0.07540395,0,0,4,0
YDR137W,0,0,0,0,0,1,0.112,49.86,0.365,663,-0.464857,0.4,0,2,4,0.475382998,0,0.039156627,0.054216867,0,0,3,0
YDR141C,0,0,0,0,0,1,0.127,52.47,0.361,1698,-0.06702,0.7,0,13,4,0.483045233,0,0.047086521,0.056503826,0,0,3,1
YDR170C,0,0,0,0,0,1,0.193,48.63,0.38,2009,-0.422698,1.4,117,125,4,0.523663956,0,0.034328358,0.056716418,0,0,4,1
YDR186C,0,1,0,0,0,0,0.133,56.99,0.411,877,-0.818358,1,29,2,4,0.54538102,0,0.031890661,0.041002278,0,0,3,0
YDR189W,0,0,0,0,0,1,0.188,46.73,0.387,666,-0.331081,1,0,14,4,0.547274058,0,0.034482759,0.035982009,0,0,4,1
YDR236C,0,1,0,0,0,0,0.144,53.06,0.387,218,-0.063303,0.8,0,1,4,0.610918652,0,0.054794521,0.050228311,1,0,4,1
YDR262W,0,0,0,0,1,0,0.118,55.86,0.391,272,-0.346324,0.9,0,1,4,0.648284614,0,0.036630037,0.04029304,0,0,4,0
YDR264C,0,0,0,0,0,1,0.133,53.56,0.4,764,-0.008377,1.6,0,11,4,0.651671846,0,0.044444444,0.081045752,5,0,4,0
YDR275W,0,0,0,0,0,1,0.116,51.72,0.387,235,-0.043404,1.3,0,1,4,0.660764304,0,0.050847458,0.076271186,1,0,4,0
YDR299W,0,0,0,0,0,1,0.206,50.55,0.371,534,-1.033521,1.7,39,112,4,0.691689367,0,0.028037383,0.028037383,0,0,3,1
YDR316W,1,0,0,0,0,0,0.15,51.16,0.353,471,-0.811677,0.5,82,6,4,0.713973037,0,0.042372881,0.065677966,0,0,2,0
YDR329C,0,0,0,0,0,1,0.098,55.38,0.416,441,-0.349887,0.7,0,2,4,0.736056305,0,0.033936652,0.06561086,1,0,4,0
YDR347W,1,0,0,0,0,0,0.102,58.59,0.414,321,-0.555452,1.6,0,42,4,0.763199861,0,0.046583851,0.059006211,0,0,3,0
YDR349C,0,1,1,0,0,0,0.116,53.94,0.411,596,-0.021812,1.2,0,2,4,0.766462414,0,0.056951424,0.041876047,0,0,4,0
YDR361C,0,1,0,1,0,0,0.212,47.51,0.371,283,-0.692933,1.7,0,11,4,0.780878879,0,0.042253521,0.049295775,0,0,4,1
YDR365C,0,0,0,1,0,1,0.229,48.45,0.38,628,-1.299841,1.9,0,109,4,0.787484929,0,0.031796502,0.041335453,0,0,3,1
YDR370C,0,1,0,0,0,0,0.121,50.31,0.365,442,-0.408597,0.7,0,1,4,0.795792755,0,0.056433409,0.09255079,0,0,3,0
YDR371W,0,1,0,0,0,0,0.137,50.29,0.35,511,-0.478865,0.3,0,1,4,0.795990545,0,0.06640625,0.080078125,1,0,4,0
YDR382W,0,1,0,0,0,0,0.762,26.66,0.482,110,-0.131818,169,4,265,4,0.80909755,0,0.018018018,0.018018018,0,0,6,0
YDR384C,0,0,0,0,1,1,0.127,55.41,0.461,275,0.365455,2.1,0,1,4,0.810754937,0,0.072463768,0.086956522,6,0,4,0
YDR394W,0,0,0,0,0,0,0.209,47.92,0.421,428,-0.291589,1.4,0,273,4,0.823581902,0,0.027972028,0.034965035,0,0,5,1
YDR416W,0,0,0,1,0,0,0.133,49.88,0.369,859,-0.366007,0.4,0,104,4,0.847571917,0,0.065116279,0.074418605,0,0,4,1
YDR418W,0,1,0,0,0,0,0.766,27.62,0.426,165,-0.336364,42,1,80,4,0.849650343,0,0.018072289,0.030120482,0,0,6,0
YDR421W,0,0,0,1,0,0,0.115,52.63,0.388,950,-0.543684,0.2,0,1,4,0.856454836,0,0.044164038,0.059936909,0,0,4,0
YDR427W,0,0,0,1,0,0,0.218,45.86,0.337,393,-0.303054,5.3,0,202,4,0.863090261,0,0.038071066,0.055837563,0,0,4,1
YDR432W,0,0,0,1,0,0,0.359,37.38,0.48,414,-1.095411,3.1,0,146,4,0.867384193,0,0.05060241,0.043373494,0,0,5,0
YDR454C,0,1,0,1,0,0,0.314,42.82,0.408,187,-0.392513,9.9,0,1,4,0.892218242,0,0.037234043,0.031914894,0,0,5,1
YDR472W,0,0,0,0,0,1,0.129,53.64,0.404,283,-0.346643,0.9,0,13,4,0.916041148,0,0.049295775,0.063380282,0,0,4,1
YDR487C,0,1,0,1,0,0,0.198,51.36,0.446,208,-0.229327,2.4,0,1,4,0.932789966,0,0.043062201,0.100478469,0,0,4,1
YDR516C,0,1,0,0,0,0,0.178,53.28,0.441,500,-0.2314,1.2,1,4,4,0.963794014,0,0.053892216,0.067864271,0,0,4,0
YDR520C,0,1,0,1,0,0,0.118,53.16,0.364,772,-0.434715,0.4,0,3,4,0.968315764,0,0.056921087,0.07373868,0,0,3,0
YDR528W,0,1,0,0,0,0,0.142,50.16,0.384,423,-0.753191,0.4,0,2,4,0.975615711,0,0.04009434,0.051886792,0,0,4,0
YDR533C,0,1,0,1,0,0,0.236,46.9,0.408,237,-0.261603,2.6,0,2,4,0.980559804,0,0.037815126,0.037815126,0,0,4,0
YEL011W,0,1,0,1,0,1,0.177,49.94,0.41,704,-0.414205,0.2,0,1,5,0.230762964,0,0.059574468,0.086524823,0,0,3,0
YEL017W,0,0,0,0,0,1,0.124,59,0.438,337,-0.317211,0.6,0,13,5,0.214358893,0,0.062130178,0.056213018,2,0,4,0
YEL024W,1,0,0,0,0,0,0.327,41.31,0.422,215,-0.087907,1.6,0,25,5,0.185934762,0,0.046296296,0.097222222,0,0,6,0
YEL051W,0,0,0,0,0,1,0.322,39.15,0.389,256,-0.617969,2.7,0,127,5,0.101198019,0,0.031128405,0.027237354,0,0,6,0
YEL054C,0,1,0,0,0,0,0.605,32.82,0.426,165,-0.336364,17.3,1,81,5,0.092253181,0,0.018072289,0.030120482,0,0,6,0
YER006W,0,0,0,1,0,1,0.21,45.58,0.397,520,-0.576346,2.6,0,302,5,0.282077907,0,0.024952015,0.042226488,0,0,4,1
YER025W,0,1,0,0,0,0,0.333,40.58,0.405,527,-0.226945,5.8,0,160,5,0.355800017,0,0.03219697,0.056818182,0,0,6,1
YER037W,0,1,0,1,0,0,0.162,58.22,0.376,321,-0.523988,0.3,0,1,5,0.391575904,0,0.055900621,0.062111801,0,0,3,0
YER059W,0,1,0,1,0,0,0.107,52.93,0.39,420,-0.710952,0.6,0,9,5,0.472589097,0,0.040380048,0.054631829,0,0,4,0
YER068W,0,1,0,0,0,0,0.151,50.51,0.404,587,-0.73356,0.4,0,33,5,0.507997483,0,0.05952381,0.073129252,0,0,5,0
YER070W,0,0,0,0,0,0,0.312,40.98,0.409,888,-0.33232,1.5,4,35,5,0.518225108,0,0.064116985,0.076490439,0,0,5,0
YER083C,0,0,1,0,0,0,0.118,57.9,0.462,285,-0.055439,2.2,0,8,5,0.566899937,0,0.031468531,0.048951049,3,0,3,0
YER095W,0,1,0,1,0,0,0.173,52.83,0.468,400,-0.2185,1.8,0,52,5,0.606681933,0,0.039900249,0.069825436,0,0,5,0
YER110C,0,1,0,1,0,0,0.343,38.67,0.399,1113,0.000359,1.9,0,230,5,0.662367019,0,0.034111311,0.043087971,0,0,4,0
YER126C,0,1,0,0,0,0,0.299,41.69,0.401,261,-0.785824,3.4,0,139,5,0.717970631,0,0.022900763,0.06870229,0,0,4,1
YER149C,0,0,0,0,0,1,0.127,57.72,0.402,420,-0.914524,0.5,0,8,5,0.810348623,0,0.035629454,0.052256532,0,0,4,0
YER150W,0,0,0,0,1,0,0.171,48,0.466,148,0.280406,0.3,1,2,5,0.81190877,0,0.040268456,0.053691275,0,0,3,0
YER153C,1,0,0,0,0,0,0.046,58.89,0.552,254,-0.14252,0.2,0,2,5,0.823063815,0,0.02745098,0.090196078,0,0,4,0
YER164W,0,0,0,1,0,0,0.17,51.45,0.396,1468,-0.844959,0.9,2,25,5,0.876086252,0,0.034717495,0.060585432,0,0,5,0
YER168C,0,1,0,0,0,0,0.137,54.75,0.379,546,-0.345787,0.4,0,3,5,0.906035859,0,0.036563071,0.065813528,0,0,4,1
YER171W,0,1,0,1,0,0,0.15,48.28,0.371,778,-0.32018,0.4,0,58,5,0.913685776,0,0.059050064,0.073170732,0,0,5,1
YER176W,0,1,0,0,0,0,0.14,52.63,0.395,1121,-0.732203,0.9,0,2,5,0.939008683,0,0.042780749,0.051693405,0,0,3,0
YFL008W,0,1,0,1,0,0,0.163,50.96,0.358,1225,-0.739755,0.4,0,43,6,0.442068792,0,0.037520392,0.03588907,0,0,5,1
YFL017C,0,1,0,1,0,0,0.144,49.82,0.421,159,-0.240881,1.5,0,8,6,0.386662126,0,0.06875,0.08125,0,0,4,1
YFL023W,0,1,0,0,0,0,0.135,55.37,0.403,796,-1.050754,0.9,0,4,6,0.336793165,0,0.025094103,0.035131744,0,0,4,0
YFL024C,0,0,0,1,0,0,0.154,52.48,0.381,832,-1.021515,0.7,51,25,6,0.334420392,0,0.038415366,0.051620648,0,0,4,1
YFL026W,0,0,0,0,1,0,0.136,44.59,0.378,431,0.130162,6,0,2,6,0.305676888,0,0.048611111,0.046296296,7,0,3,0
YFL036W,0,0,0,0,0,1,0.169,46.65,0.38,1351,-0.422354,0.9,0,2,6,0.217588137,0,0.028846154,0.065088757,0,0,4,0
YFR013W,0,0,0,1,0,0,0.14,52.09,0.388,787,-0.829479,0.3,0,66,6,0.628966344,0,0.043147208,0.052030457,0,0,3,0
YFR019W,0,0,0,0,0,1,0.142,53.34,0.387,2278,-0.666462,0.3,170,55,6,0.682921954,0,0.046072839,0.064501975,0,0,3,0
YFR032C,0,1,0,0,0,0,0.168,51.62,0.486,289,-0.512111,1,0,1,6,0.825277255,0,0.037931034,0.034482759,1,0,3,0
YGL011C,0,1,0,1,0,0,0.178,48.77,0.406,252,-0.251191,3.3,0,187,7,0.435634688,0,0.063241107,0.055335968,0,0,5,1
YGL016W,0,1,0,1,0,1,0.18,48.19,0.357,1081,-0.011656,1,0,38,7,0.423185757,0,0.054528651,0.07116451,0,0,4,0
YGL019W,0,1,0,1,0,0,0.126,54.12,0.46,278,-0.681655,1.8,0,292,7,0.419968339,0,0.075268817,0.100358423,0,0,5,0
YGL021W,0,0,0,0,0,0,0.142,49.12,0.367,760,-0.591447,0.7,0,1,7,0.416878335,0,0.027595269,0.067017083,0,0,4,0
YGL028C,0,0,0,0,0,0,0.28,43.6,0.415,542,-0.205535,3.9,21,2,7,0.40599228,0,0.038674033,0.031307551,0,0,4,0
YGL035C,0,1,0,1,0,0,0.152,46.38,0.424,504,-0.838691,1.1,1,9,7,0.396966094,0,0.01980198,0.069306931,0,0,4,0
YGL043W,0,0,0,1,0,0,0.187,48.25,0.402,309,-0.799029,0.9,0,2,7,0.382684793,0,0.051612903,0.074193548,0,0,6,0
YGL060W,0,1,0,0,0,0,0.148,54.72,0.372,641,-0.118097,0.6,0,5,7,0.357553186,0,0.060747664,0.074766355,0,0,4,0
YGL068W,1,0,0,0,0,0,0.204,54.88,0.43,194,-0.128866,2.3,0,71,7,0.343821871,0,0,0.035897436,0,0,3,1
YGL073W,0,0,0,1,0,0,0.125,54.64,0.396,833,-1.022569,0.6,0,2,7,0.338015852,0,0.017985612,0.050359712,0,0,4,1
YGL075C,0,0,0,0,0,1,0.114,56.81,0.385,387,-0.525581,0.1,0,3,7,0.337406285,0,0.030927835,0.036082474,0,0,4,1
YGL087C,0,1,0,1,0,0,0.223,47.85,0.411,137,-0.740146,1.9,0,9,7,0.317988115,1,0.050724638,0.086956522,0,0,3,0
YGL097W,0,0,0,1,0,0,0.204,48.02,0.443,482,-0.435685,2.4,0,12,7,0.294960204,0,0.041407867,0.089026915,0,0,4,1
YGL111W,0,0,0,1,0,1,0.127,52.55,0.393,463,-0.371058,1.2,0,176,7,0.274973715,0,0.030172414,0.05387931,0,0,4,1
YGL172W,0,0,0,0,0,1,0.099,50.35,0.431,472,-0.40678,2,0,25,7,0.165641096,0,0.014799154,0.029598309,0,0,4,1
YGL185C,0,1,0,0,0,0,0.132,53.3,0.404,379,-0.330079,0.4,0,3,7,0.141447215,0,0.060526316,0.086842105,0,0,4,0
YGL200C,0,0,0,0,0,1,0.223,52.11,0.443,203,-0.219704,8.3,0,28,7,0.113029442,0,0.053921569,0.058823529,2,0,4,0
YGL207W,0,0,0,1,0,0,0.211,46.66,0.372,1035,-0.648116,2,0,119,7,0.090721096,0,0.040540541,0.03957529,0,0,3,1
YGL238W,0,1,0,1,0,0,0.188,43.72,0.347,960,0.051771,1.7,0,21,7,0.045421505,0,0.030176899,0.041623309,0,0,4,1
YGL246C,0,0,0,1,0,0,0.137,50.39,0.367,387,-0.462532,0.9,0,16,7,0.035547424,0,0.056701031,0.054123711,0,0,4,0
YGL249W,0,0,0,0,0,0,0.142,52.8,0.343,704,-0.537784,1,0,2,7,0.030339057,0,0.055319149,0.075177305,0,0,3,0
YGR004W,0,0,0,0,0,0,0.114,48.8,0.377,462,-0.158009,0.4,0,2,7,0.461016539,0,0.041036717,0.071274298,4,0,3,0
YGR033C,1,0,0,0,0,0,0.111,53.11,0.389,239,-0.525941,1.7,0,7,7,0.508708569,0,0.041666667,0.0625,1,0,4,0
YGR042W,0,1,0,1,0,0,0.12,57.22,0.391,271,-0.708118,0.3,0,1,7,0.531174577,0,0.033088235,0.047794118,0,0,4,0
YGR072W,0,1,0,0,0,0,0.152,56.17,0.351,387,-1.253747,0.5,0,4,7,0.581432292,0,0.033505155,0.036082474,0,0,3,0
