Gene	Ensembl.Gene.ID	Essential	GC.content	Strand	Transcript.length	Transmembrane.length.discretized	Coiled.coil.discretized
CDC23	YHR166C	1	38.6	-1	1881	0	0
CDC24	YAL041W	1	38.91	1	2565	0	0
CDC25	YLR310C	1	37.02	-1	4770	0	1
CDC27	YBL084C	1	37.15	-1	2277	0	0
CDC28	YBR160W	1	41.14	1	897	0	0
CDC3	YLR314C	1	38.07	-1	1563	0	1
CDC31	YOR257W	1	37.65	1	486	0	1
CDC33	YOL139C	1	39.88	-1	642	0	0
CDC34	YDR054C	1	41.22	-1	888	0	0
CDC36	YDL165W	1	41.49	1	576	0	0
CDC37	YDR168W	1	35.7	1	1521	0	1
CDC39	YCR093W	1	36.43	1	6327	0	1
CDC4	YFL009W	1	39.66	1	2340	0	0
CDC42	YLR229C	1	42.19	-1	576	0	0
CDC43	YGL155W	1	39.52	1	1131	0	0
CDC45	YLR103C	1	38.35	-1	1953	0	0
CDC48	YDL126C	1	41.83	-1	2508	0	0
CDC5	YMR001C	1	36.92	-1	2118	0	0
CDC53	YDL132W	1	37.62	1	2448	0	0
CDC6	YJL194W	1	40.6	1	1542	0	0
CDC60	YPL160W	1	39.38	1	3273	0	0
CDC7	YDL017W	1	38.52	1	1524	0	0
CDC8	YJR057W	1	38.1	1	651	0	0
CDC9	YDL164C	1	39.99	-1	2268	0	0
CDS1	YBR029C	1	38.5	-1	1374	1	0
CEF1	YMR213W	1	42.24	1	1773	0	1
CEG1	YGL130W	1	40.07	1	1380	0	0
CEP3	YMR168C	1	36.95	-1	1827	0	1
CET1	YPL228W	1	36.85	1	1650	0	1
CFD1	YIL003W	1	41.72	1	882	0	0
CFT1	YDR301W	1	37.41	1	4074	0	0
CFT2	YLR115W	1	37.67	1	2580	0	0
CHS2	YBR038W	1	40.32	1	2892	1	0
CIA1	YDR267C	1	41.99	-1	993	0	0
CIA2	YHR122W	1	41.38	1	696	0	1
CKS1	YBR135W	1	47.9	1	453	0	1
CLF1	YLR117C	1	37.35	-1	2064	0	0
CLP1	YOR250C	1	39.91	-1	1338	0	1
CMD1	YBR109C	1	38.96	-1	444	0	0
CNS1	YBR155W	1	38.86	1	1158	0	1
COF1	YLL050C	1	38.13	-1	432	0	0
COG2	YGR120C	1	35.99	-1	789	0	1
COG3	YER157W	1	36.03	1	2406	0	1
COG4	YPR105C	1	36.27	-1	2586	0	0
COP1	YDL145C	1	39.93	-1	3606	0	0
CRM1	YGR218W	1	35.85	1	3255	0	1
CSE1	YGL238W	1	34.65	1	2883	0	0
CSE4	YKL049C	1	39.71	-1	690	0	1
CSL4	YNL232W	1	42.89	1	879	0	0
CTF13	YMR094W	1	34.79	1	1437	0	0
CTR86	YCR054C	1	36.05	-1	1692	0	0
CUS1	YMR240C	1	41.11	-1	1311	0	1
CWC2	YDL209C	1	40.1	-1	1020	0	0
CWC22	YGR278W	1	37.66	1	1734	0	1
CWC23	YGL128C	1	41.55	-1	852	0	0
CWC24	YLR323C	1	41.92	-1	780	0	0
CWC25	YNL245C	1	41.67	-1	540	0	1
CYR1	YJL005W	1	38.78	1	6081	0	0
DAD1	YDR016C	1	38.95	-1	285	0	0
DAD2	YKR083C	1	36.32	-1	402	0	1
DAM1	YGR113W	1	40.12	1	1032	0	1
DBF4	YDR052C	1	37.97	-1	2115	0	1
DBP10	YDL031W	1	38.89	1	2988	0	1
DBP2	YNL112W	1	37.76	1	1641	0	0
DBP5	YOR046C	1	37.68	-1	1449	0	0
DBP6	YNR038W	1	38.47	1	1890	0	1
DBP9	YLR276C	1	35.97	-1	1785	0	1
DCP1	YOL149W	1	35.2	1	696	0	0
DCP2	YNL118C	1	37.52	-1	2913	0	0
DED1	YOR204W	1	46.06	1	1815	0	0
DED81	YHR019C	1	44.38	-1	1665	0	1
DFR1	YOR236W	1	41.35	1	636	0	0
DHR2	YKL078W	1	39.4	1	2208	0	0
DIB1	YPR082C	1	37.96	-1	432	0	0
DIM1	YPL266W	1	40.54	1	957	0	0
DIP2	YLR129W	1	38.06	1	2832	0	1
DIS3	YOL021C	1	41.25	-1	3006	0	0
DML1	YMR211W	1	37.39	1	1428	0	0
DNA2	YHR164C	1	37.58	-1	4569	0	0
DOP1	YDR141C	1	36.14	-1	5097	0	1
DPB11	YJL090C	1	35.21	-1	2295	0	0
DPB2	YPR175W	1	39.28	1	2070	0	0
DPM1	YPR183W	1	49.88	1	804	1	0
DPS1	YLL018C	1	44.32	-1	1674	0	1
DRE2	YKR071C	1	37.54	-1	1047	0	0
DRS1	YLL008W	1	40.95	1	2259	0	1
DSL1	YNL258C	1	35.76	-1	2265	0	1
DSN1	YIR010W	1	41.71	1	1731	0	1
DUO1	YGL061C	1	37.5	-1	744	0	0
DUT1	YBR252W	1	47.3	1	444	0	0
DYS1	YHR068W	1	40.46	1	1164	0	0
EBP2	YKL172W	1	39.49	1	1284	0	1
ECM16	YMR128W	1	38.22	1	3804	0	0
ECM9	YKR004C	1	32.39	-1	1134	0	0
ECO1	YFR027W	1	41.84	1	846	0	0
EFB1	YAL003W	1	39.21	1	621	0	0
EMG1	YLR186W	1	41.63	1	759	0	0
EMW1	YNL313C	1	39.71	-1	2715	0	0
ENP1	YBR247C	1	39.74	-1	1452	0	1
ENP2	YGR145W	1	37.81	1	2124	0	1
EPL1	YFL024C	1	38.06	-1	2499	0	1
ERB1	YMR049C	1	39.11	-1	2424	0	0
ERD2	YBL040C	1	37.25	-1	660	1	0
ERG1	YGR175C	1	41.25	-1	1491	1	0
ERG10	YPL028W	1	44.11	1	1197	0	0
ERG11	YHR007C	1	39.92	-1	1593	1	0
ERG12	YMR208W	1	40.54	1	1332	0	0
ERG13	YML126C	1	39.57	-1	1476	0	0
ERG20	YJL167W	1	41.83	1	1059	0	0
ERG25	YGR060W	1	41.29	1	930	1	0
ERG26	YGL001C	1	39.62	-1	1050	0	0
ERG27	YLR100W	1	41.38	1	1044	0	0
ERG29	YMR134W	1	35.29	1	714	1	0
ERG7	YHR072W	1	42.08	1	2196	0	0
ERG8	YMR220W	1	39.82	1	1356	0	1
ERG9	YHR190W	1	40.22	1	1335	1	0
ERO1	YML130C	1	37.23	-1	1692	0	0
ERV1	YGR029W	1	41.65	1	570	0	0
ESA1	YOR244W	1	36.55	1	1338	0	0
ESF1	YDR365C	1	37.89	-1	1887	0	1
ESF2	YNR054C	1	40.8	-1	951	0	1
ESP1	YGR098C	1	34.85	-1	4893	0	0
ESS1	YJR017C	1	51.85	-1	513	0	0
EXO70	YJL085W	1	36.16	1	1872	0	0
EXO84	YBR102C	1	37.98	-1	2262	0	1
FAD1	YDL045C	1	39.2	-1	921	0	0
FAF1	YIL019W	1	39.96	1	1041	0	1
FAL1	YDR021W	1	35.25	1	1200	0	0
FAP7	YDL166C	1	43.1	-1	594	0	0
FAS1	YKL182W	1	39.94	1	6156	0	0
FAS2	YPL231W	1	42.27	1	5664	0	1
FBA1	YKL060C	1	45.19	-1	1080	0	0
FCF1	YDR339C	1	38.77	-1	570	0	0
FCF2	YLR051C	1	38.07	-1	654	0	0
FCP1	YMR277W	1	42.75	1	2199	0	1
FHL1	YPR104C	1	40.48	-1	2811	0	1
FIP1	YJR093C	1	41.87	-1	984	0	0
FMN1	YDR236C	1	38.66	-1	657	1	0
FOL1	YNL256W	1	37.98	1	2475	0	0
FOL2	YGR267C	1	39.34	-1	732	0	1
FOL3	YMR113W	1	39.49	1	1284	0	0
FRQ1	YDR373W	1	37.87	1	573	0	0
FRS1	YLR060W	1	41.39	1	1788	0	0
FRS2	YFL022C	1	43.92	-1	1512	0	1
FUR1	YHR128W	1	40.86	1	651	0	0
GAA1	YLR088W	1	37.67	1	1845	1	0
GAB1	YLR459W	1	37.13	1	1185	1	0
GCD1	YOR260W	1	38.69	1	1737	0	0
GCD10	YNL062C	1	38.2	-1	1437	0	1
GCD11	YER025W	1	40.4	1	1584	0	0
GCD14	YJL125C	1	39.24	-1	1152	0	0
GCD2	YGR083C	1	39.01	-1	1956	0	1
GCD6	YDR211W	1	37.07	1	2139	0	0
GCD7	YLR291C	1	38.57	-1	1146	0	0
GCR1	YPL075W	1	37.28	1	2358	0	1
GDI1	YER136W	1	37.83	1	1356	0	0
GFA1	YKL104C	1	38.86	-1	2154	0	0
GLC7	YER133W	1	35.93	1	939	0	0
GLE1	YDL207W	1	39.39	1	1617	0	1
GLN1	YPR035W	1	44.47	1	1113	0	0
GLN4	YOR168W	1	37.82	1	2430	0	0
GNA1	YFL017C	1	42.08	-1	480	0	0
GPI1	YGR216C	1	34.97	-1	1830	1	0
GPI10	YGL142C	1	37.33	-1	1851	1	0
GPI11	YDR302W	1	35.76	1	660	1	0
GPI12	YMR281W	1	37.6	1	915	1	0
GPI13	YLL031C	1	37.39	-1	3054	1	0
GPI14	YJR013W	1	38.7	1	1212	1	0
GPI15	YNL038W	1	33.77	1	690	1	0
GPI16	YHR188C	1	43.92	-1	1833	1	0
GPI17	YDR434W	1	36.26	1	1605	1	1
GPI18	YBR004C	1	34.25	-1	1302	1	0
GPI19	YDR437W	1	42.32	1	423	1	0
GPI2	YPL076W	1	35.71	1	843	1	0
GPI8	YDR331W	1	38.19	1	1236	1	0
GPM1	YKL152C	1	44.62	-1	744	0	0
GPN2	YOR262W	1	38.41	1	1044	0	1
GPN3	YLR243W	1	38.71	1	819	0	0
GRC3	YLL035W	1	39.02	1	1899	0	0
GRS1	YBR121C	1	39.27	-1	2004	0	0
GSP1	YLR293C	1	41.67	-1	660	0	1
GUK1	YDR454C	1	40.78	-1	564	0	0
GUS1	YGL245W	1	40.15	1	2127	0	0
GWT1	YJL091C	1	36.32	-1	1473	1	0
HAS1	YMR290C	1	37.81	-1	1518	0	0
HCA4	YJL033W	1	38.22	1	2313	0	1
HEM1	YDR232W	1	46.99	1	1647	0	0
HEM12	YDR047W	1	43.99	1	1089	0	0
HEM13	YDR044W	1	44.17	1	987	0	0
HEM15	YOR176W	1	41.29	1	1182	0	0
HEM2	YGL040C	1	43.34	-1	1029	0	0
HEM3	YDL205C	1	41.57	-1	984	0	0
HEM4	YOR278W	1	38.29	1	828	0	0
HIP1	YGR191W	1	40.84	1	1812	1	0
HRP1	YOL123W	1	41.31	1	1605	0	1
HRR25	YPL204W	1	41.48	1	1485	0	0
HRT1	YOL133W	1	43.44	1	366	0	0
HSF1	YGL073W	1	39.61	1	2502	0	0
HSH155	YMR288W	1	38.27	1	2916	0	1
HSH49	YOR319W	1	33.64	1	642	0	0
HSP10	YOR020C	1	42.99	-1	321	0	0
HSP60	YLR259C	1	43.16	-1	1719	0	0
HTB1	YDR224C	1	40.91	-1	396	0	0
HTS1	YPR033C	1	40.1	-1	1641	0	0
HYM1	YKL189W	1	36	1	1200	0	0
HYP2	YEL034W	1	44.51	1	474	0	0
IDI1	YPL117C	1	37.02	-1	867	0	0
IFH1	YLR223C	1	37.45	-1	3258	0	1
ILS1	YBL076C	1	38.93	-1	3219	0	0
ILV3	YJR016C	1	44.71	-1	1758	0	0
ILV5	YLR355C	1	46.21	-1	1188	0	0
IMP3	YHR148W	1	38.59	1	552	0	0
IMP4	YNL075W	1	39.18	1	873	0	1
INN1	YNL152W	1	40.24	1	1230	0	0
INO80	YGL150C	1	38.68	-1	4470	0	1
IPI1	YHR085W	1	38.71	1	1005	0	0
IPI3	YNL182C	1	37.29	-1	1668	0	1
IPL1	YPL209C	1	36.59	-1	1104	0	0
IPP1	YBR011C	1	42.59	-1	864	0	0
IQG1	YPL242C	1	36.32	-1	4488	0	1
IRA1	YBR140C	1	36.19	-1	9279	0	0
IRR1	YIL026C	1	36.72	-1	3453	0	0
ISD11	YER048W-A	1	36.14	1	285	0	0
JAC1	YGL018C	1	41.98	-1	555	0	0
JIP5	YPR169W	1	38.2	1	1479	0	0
KAE1	YKR038C	1	44.1	-1	1161	0	0
KAP95	YLR347C	1	41.14	-1	2586	0	0
KAR1	YNL188W	1	34.72	1	1302	1	0
KAR2	YJL034W	1	40.65	1	2049	1	1
KEG1	YFR042W	1	35.82	1	603	1	0
KEI1	YDR367W	1	35.2	1	666	1	0
KIN28	YDL108W	1	39.02	1	921	0	0
KOG1	YHR186C	1	38.47	-1	4674	0	1
KRE29	YER038C	1	34.77	-1	1395	0	0
KRE33	YNL132W	1	38.51	1	3171	0	1
KRE5	YOR336W	1	35.97	1	4098	0	0
KRE9	YJL174W	1	43.2	1	831	1	0
KRI1	YNL308C	1	39.53	-1	1776	0	1
KRR1	YCL059C	1	38.38	-1	951	0	1
KRS1	YDR037W	1	40.65	1	1776	0	1
LAS1	YKR063C	1	37.51	-1	1509	0	1
LAS17	YOR181W	1	47.27	1	1902	0	0
LCB1	YMR296C	1	47.05	-1	1677	0	0
LCB2	YDR062W	1	39.74	1	1686	0	0
LCD1	YDR499W	1	35.47	1	2244	0	1
LCP5	YER127W	1	42.09	1	1074	0	1
LIP1	YMR298W	1	40.62	1	453	1	0
LSG1	YGL099W	1	38.9	1	1923	0	0
LSM2	YBL026W	1	34.13	1	288	0	0
LSM3	YLR438C-A	1	49.26	-1	270	0	0
LSM4	YER112W	1	34.75	1	564	0	0
LSM5	YER146W	1	47.52	1	282	0	0
LSM8	YJR022W	1	38.48	1	330	0	0
LST8	YNL006W	1	42.54	1	912	0	0
LTO1	YNL260C	1	33	-1	597	0	0
LUC7	YDL087C	1	46.44	-1	786	0	1
MAK11	YKL021C	1	37.03	-1	1407	0	0
MAK16	YAL025C	1	42.24	-1	921	0	0
MAK21	YDR060W	1	37.3	1	3078	0	1
MAK5	YBR142W	1	37.08	1	2322	0	0
MAS1	YLR163C	1	39.6	-1	1389	0	0
MAS2	YHR024C	1	42.65	-1	1449	0	1
MCD1	YDL003W	1	38.33	1	1701	0	0
MCD4	YKL165C	1	36.09	-1	2760	1	0
MCM1	YMR043W	1	46.57	1	861	0	0
MCM10	YIL150C	1	39.86	-1	1716	0	1
MCM2	YBL023C	1	40.01	-1	2607	0	1
MCM3	YEL032W	1	44.03	1	2916	0	0
MCM4	YPR019W	1	39.97	1	2802	0	0
MCM5	YLR274W	1	37.24	1	2328	0	0
MCM6	YGL201C	1	40.05	-1	3054	0	1
MCM7	YBR202W	1	41.06	1	2538	0	0
MDN1	YLR106C	1	37.7	-1	14733	0	1
MEC1	YBR136W	1	36.37	1	7107	0	0
MED11	YMR112C	1	39.65	-1	396	0	1
MED4	YOR174W	1	40.58	1	855	0	0
MED6	YHR058C	1	42.79	-1	888	0	0
MED7	YOL135C	1	44.99	-1	669	0	1
MED8	YBR193C	1	42.11	-1	672	0	1
MES1	YGR264C	1	37.01	-1	2256	0	0
MET30	YIL046W	1	47.48	1	1923	0	0
MET4	YNL103W	1	40.96	1	2019	0	1
MEX67	YPL169C	1	40.28	-1	1800	0	0
MGE1	YOR232W	1	38.14	1	687	0	1
MIA40	YKL195W	1	41.25	1	1212	1	1
MIF2	YKL089W	1	38.73	1	1650	0	1
MIM1	YOL026C	1	50.58	-1	342	0	0
MMF1	YIL051C	1	41.55	-1	438	0	0
MMS21	YEL019C	1	39.55	-1	804	0	0
MNP1	YGL068W	1	42.91	1	585	0	0
MOB1	YIL106W	1	40.58	1	945	0	0
MOB2	YFL034C-B	1	40.18	-1	864	0	0
MOT1	YPL082C	1	38.94	-1	5604	0	0
MPE1	YKL059C	1	42.61	-1	1326	0	0
MPP10	YJR002W	1	39.45	1	1782	0	1
MPS1	YDL028C	1	36.95	-1	2295	0	0
MPS2	YGL075C	1	38.4	-1	1164	0	1
MPS3	YJL019W	1	39.78	1	2049	1	1
MRD1	YPR112C	1	39.19	-1	2664	0	1
MRPS18	YNL306W	1	40.98	1	654	0	0
MRS6	YOR370C	1	39.9	-1	1812	0	0
MSL5	YLR116W	1	42.91	1	1431	0	0
MSS4	YDR208W	1	38.46	1	2340	0	0
MTR10	YOR160W	1	36.66	1	2919	0	0
MTR2	YKL186C	1	42.34	-1	555	0	0
MTR3	YGR158C	1	40.64	-1	753	0	0
MTR4	YJL050W	1	39.04	1	3222	0	1
MTW1	YAL034W-A	1	38.51	1	870	0	1
MVD1	YNR043W	1	43.24	1	1191	0	1
MYO1	YHR023W	1	35.04	1	5787	0	1
MYO2	YOR326W	1	37.48	1	4725	0	1
NAB2	YGL122C	1	43.66	-1	1578	0	1
NAB3	YPL190C	1	41.3	-1	2409	0	1
NAF1	YNL124W	1	45.44	1	1479	0	0
NAM9	YNL137C	1	38.26	-1	1461	0	0
NAN1	YPL126W	1	37.12	1	2691	0	0
NAR1	YNL240C	1	51.49	-1	1476	0	0
NAT2	YGR147C	1	43.37	-1	867	1	0
NBP1	YLR457C	1	38.44	-1	960	0	1
NBP35	YGL091C	1	42.76	-1	987	0	0
NCB2	YDR397C	1	42.21	-1	441	0	0
NCP1	YHR042W	1	46.44	1	2076	0	0
NDC1	YML031W	1	41.97	1	1968	1	0
NDC80	YIL144W	1	33.53	1	2076	0	1
NDD1	YOR372C	1	38.8	-1	1665	0	0
NEO1	YIL048W	1	36.69	1	3456	1	0
NET1	YJL076W	1	41.4	1	3570	0	1
NFS1	YCL017C	1	43.17	-1	1494	0	0
NHP2	YDL208W	1	41.61	1	471	0	0
NIC96	YFR002W	1	36.07	1	2520	0	1
NIP1	YMR309C	1	35.67	-1	2439	0	1
NIP7	YPL211W	1	37.73	1	546	0	0
NMD3	YHR170W	1	39.5	1	1557	0	1
NMT1	YLR195C	1	38.01	-1	1368	0	0
NNF1	YJR112W	1	45.71	1	606	0	1
NOB1	YOR056C	1	42.1	-1	1380	0	1
NOC2	YOR206W	1	36.15	1	2133	0	1
NOC3	YLR002C	1	37.75	-1	1992	0	1
NOC4	YPR144C	1	38.4	-1	1659	0	0
NOG1	YPL093W	1	40.59	1	1944	0	1
NOG2	YNR053C	1	39.04	-1	1461	0	1
NOP1	YDL014W	1	47.46	1	984	0	0
NOP14	YDL148C	1	36.37	-1	2433	0	1
NOP15	YNL110C	1	36.2	-1	663	0	0
NOP19	YGR251W	1	40.27	1	591	0	0
NOP2	YNL061W	1	40.01	1	1857	0	1
NOP4	YPL043W	1	39.65	1	2058	0	1
NOP53	YPL146C	1	34.06	-1	1368	0	1
NOP56	YLR197W	1	36.44	1	1515	0	1
NOP58	YOR310C	1	38.28	-1	1536	0	1
NOP7	YGR103W	1	36.8	1	1818	0	1
NOP8	YOL144W	1	37.66	1	1455	0	1
NOP9	YJL010C	1	36.63	-1	2001	0	0
NPA3	YJR072C	1	44.56	-1	1158	0	1
NRD1	YNL251C	1	42.65	-1	1728	0	0
NSA1	YGL111W	1	39.22	1	1392	0	0
NSA2	YER126C	1	40.08	-1	786	0	1
NSE1	YLR007W	1	41.44	1	1011	0	0
NSE3	YDR288W	1	36.29	1	912	0	0
NSE4	YDL105W	1	37.22	1	1209	0	0
NSE5	YML023C	1	37.82	-1	1671	0	0
NSL1	YPL233W	1	43.93	1	651	0	0
NSP1	YJL041W	1	41.39	1	2472	0	1
NTF2	YER009W	1	38.89	1	378	0	0
NTR2	YKR022C	1	37.98	-1	969	0	1
NUD1	YOR373W	1	41.78	1	2556	0	0
NUF2	YOL069W	1	35.99	1	1356	0	1
NUG1	YER006W	1	39.67	1	1563	0	1
NUP1	YOR098C	1	41.94	-1	3231	0	0
NUP116	YMR047C	1	42.43	-1	3342	0	0
NUP145	YGL092W	1	38.11	1	3954	0	0
NUP159	YIL115C	1	39.43	-1	4383	0	1
NUP192	YJL039C	1	35.97	-1	5052	0	1
NUP49	YGL172W	1	43.13	1	1419	0	0
NUP57	YGR119C	1	42	-1	1626	0	0
NUP82	YJL061W	1	35.43	1	2142	0	1
NUP85	YJR042W	1	37.72	1	2235	0	0
NUS1	YDL193W	1	38.65	1	1128	1	0
NUT2	YPR168W	1	40.72	1	474	0	1
OKP1	YGR179C	1	37.59	-1	1221	0	1
OLE1	YGL055W	1	41.1	1	1533	1	1
ORC1	YML065W	1	37.12	1	2745	0	1
ORC2	YBR060C	1	38.59	-1	1863	0	0
ORC3	YLL004W	1	35.44	1	1851	0	0
ORC4	YPR162C	1	37.3	-1	1590	0	0
ORC5	YNL261W	1	36.04	1	1440	0	0
ORC6	YHR118C	1	37.77	-1	1308	0	0
OST1	YJL002C	1	39.13	-1	1431	1	0
OST2	YOR103C	1	34.35	-1	393	1	0
PAB1	YER165W	1	41.7	1	1734	0	1
PAM16	YJL104W	1	40.67	1	450	0	0
PAM18	YLR008C	1	38.46	-1	507	0	0
PAN1	YIR006C	1	42.72	-1	4443	0	1
PAP1	YKR002W	1	39.02	1	1707	0	0
PBN1	YCL052C	1	38.53	-1	1251	1	0
PCF11	YDR228C	1	36.74	-1	1881	0	1
PCM1	YEL058W	1	45.94	1	1674	0	0
PDC2	YDR081C	1	36.65	-1	2778	0	0
PDI1	YCL043C	1	47.29	-1	1569	0	1
PDS1	YDR113C	1	40.46	-1	1122	0	0
PDS5	YMR076C	1	35	-1	3834	0	1
PET9	YBL030C	1	42.95	-1	957	1	0
PFS2	YNL317W	1	40.92	1	1398	0	0
PFY1	YOR122C	1	39.83	-1	381	0	0
PGA1	YNL158W	1	40.87	1	597	1	0
PGA2	YNL149C	1	41.79	-1	390	1	1
PGA3	YML125C	1	43.77	-1	939	1	0
PGI1	YBR196C	1	43.3	-1	1665	0	0
PGK1	YCR012W	1	46.04	1	1251	0	0
PGS1	YCL004W	1	38.31	1	1566	0	0
PHS1	YJL097W	1	38.38	1	654	1	0
PIK1	YNL267W	1	38.21	1	3201	0	0
PIS1	YPR113W	1	43.59	1	663	1	0
PKC1	YBL105C	1	38.86	-1	3456	0	1
PLP2	YOR281C	1	38.56	-1	861	0	0
PMA1	YGL008C	1	42.4	-1	2757	1	0
PMI40	YER003C	1	39.91	-1	1290	0	0
POB3	YML069W	1	38.58	1	1659	0	0
POL1	YNL102W	1	37.62	1	4407	0	0
POL12	YBL035C	1	39.42	-1	2118	0	0
POL2	YNL262W	1	37.41	1	6669	0	1
POL3	YDL102W	1	37.92	1	3294	0	0
POL30	YBR088C	1	38.35	-1	777	0	0
POL31	YJR006W	1	39.21	1	1464	0	0
POL5	YEL055C	1	36.62	-1	3069	0	1
POP1	YNL221C	1	39.99	-1	2628	0	0
POP3	YNL282W	1	45.92	1	588	0	0
POP4	YBR257W	1	34.64	1	840	0	0
POP5	YAL033W	1	41.57	1	522	0	0
POP6	YGR030C	1	31.66	-1	477	0	0
POP7	YBR167C	1	36.17	-1	423	0	0
POP8	YBL018C	1	35.43	-1	402	0	0
PRE1	YER012W	1	39.03	1	597	0	0
PRE10	YOR362C	1	44.29	-1	867	0	0
PRE2	YPR103W	1	42.25	1	864	0	0
PRE3	YJL001W	1	38.87	1	648	0	0
PRE4	YFR050C	1	41.57	-1	801	0	0
PRE5	YMR314W	1	43.97	1	705	0	0
PRE6	YOL038W	1	45.75	1	765	0	1
PRE7	YBL041W	1	41.46	1	726	0	0
PRE8	YML092C	1	42.23	-1	753	0	0
PRI1	YIR008C	1	39.43	-1	1230	0	0
PRI2	YKL045W	1	38.82	1	1587	0	0
